,SECID,SECNAME,SHORTNAME,COUPONVALUE,COUPONPERCENT,MATDATE,NEXTCOUPON,STATUS,FACEVALUE,DELTA
1854,RU000A105BZ8,СФО Альта,Альта,99.73,10.0,2027-12-16,2023-12-21,A,1000.0,4 years 11 months
1567,RU000A103WM7,ТрансФин-М ПАО 001P-08,ТрансФ1P08,49.86,10.0,2031-10-09,2023-04-20,A,1000.0,8 years 9 months
2,RU000A0JQAL8,ДОМ.РФ (АО) обл. сер. А14,ДОМ.РФ14об,49.59,10.0,2023-05-15,2023-05-15,A,1000.0,4 months
1252,RU000A102LS9,ФПК Гарант-Инвест БО 002Р-02,ГарИнв2P02,24.93,10.0,2023-12-25,2022-12-26,A,1000.0,1 years 0 months
521,RU000A0ZZXD4,ИНГРАД ПАО БО 001P-02,ИНГРАД1P2,49.86,10.0,2028-11-28,2023-06-06,A,1000.0,5 years 11 months
173,RU000A0JVUN2,Вымпел-Коммуникации ПАО БО-02,ВымпелКБО2,49.86,10.0,2025-10-03,2023-04-07,A,1000.0,2 years 9 months
174,RU000A0JVUP7,Вымпел-Коммуникации ПАО БО-03,ВымпелКБО3,49.86,10.0,2025-10-03,2023-04-07,A,1000.0,2 years 9 months
526,RU000A0ZZYS0,Ситиматик-Югра об. 01,СитимЮгра1,450.14,10.0,2036-12-20,2023-06-19,A,1000.0,14 years 0 months
307,RU000A0JXQ51,АВТОБАН-Финанс АО БО-П01,АВТОБФ БП1,49.86,10.0,2024-04-19,2023-04-21,A,1000.0,1 years 3 months
128,RU000A0JV4R9,ДОМ.РФ (АО) обл. сер. А31,ДОМ.РФ31об,50.41,10.0,2034-02-01,2023-02-01,A,1000.0,11 years 1 months
639,RU000A100Q35,ПР-Лизинг ООО БО 001Р-03,ПР-Лиз 1P3,8.22,10.0,2026-07-07,2022-12-25,A,1000.0,3 years 6 months
579,RU000A1008Y3,Почта России (АО) БО-001P-07,ПочтаРБ1P7,49.86,10.0,2029-03-27,2023-04-04,A,1000.0,6 years 3 months
61,RU000A0JU6M6,РЕСО-Лизинг ООО БО1,РЕСОЛизБ01,49.86,10.0,2023-09-21,2023-03-23,A,1000.0,9 months
1041,RU000A1022E6,ПР-Лизинг ООО БО 002Р-01,ПР-Лиз 2P1,8.22,10.0,2029-08-10,2023-01-14,A,1000.0,6 years 7 months
1035,RU000A102200,Вита Лайн 001Р-01,ВитаЛ 1Р01,24.93,10.0,2024-08-19,2023-02-20,A,1000.0,1 years 7 months
564,RU000A100790,ТРИНФИКО Холдингс БО-01,ТРИНФ Х Б1,49.86,10.0,2024-03-20,2023-03-22,A,1000.0,1 years 2 months
1270,RU000A102QX8,ЛайфСтрим БО-П01,ЛайфСтр П1,24.93,10.0,2024-02-06,2023-02-07,A,1000.0,1 years 1 months
726,RU000A1015T8,"Аптечная сеть 36,6 001P-01","Апт36,61P1",49.86,10.0,2029-11-30,2023-06-09,A,1000.0,6 years 11 months
273,RU000A0JX2L4,"ЗАО ""КРАУС-М"" БО 001P-01",КРАУС Б1P1,49.86,10.0,2026-12-10,2023-06-15,A,1000.0,3 years 11 months
535,RU000A1000H5,РОСНАНО АО БО-П01,РОСНАН1П1,24.93,10.0,2023-12-23,2022-12-24,A,1000.0,12 months
1403,RU000A1036X6,Вита Лайн 001Р-03,ВитаЛ 1Р03,24.93,10.0,2025-05-29,2023-03-02,A,1000.0,2 years 5 months
277,RU000A0JX2R1,ДОМ.РФ (АО) БО-05,ДОМ.РФ Б-5,24.93,10.0,2049-12-22,2023-03-17,A,1000.0,27 years 0 months
666,RU000A100W60,ПАО ЛК Европлан БО-03,ЕвропланБ3,49.86,10.0,2029-09-20,2023-03-30,A,1000.0,6 years 9 months
